Dataset,Backbone,Seed,Frozen_Acc,SETTA_Acc,Delta,Improved,Tied,Worse,Test_Change_Rate,Test_Prob_L1_Shift,Alpha,Beta,K,Metric,Num_Props,Train_Time,SETTA_Time,Preprocess_Time,Used_Cache
PubMed,GraphSAGE,44,76.10000371932983,78.4000039100647,2.3000001907348633,1,0,0,9.50000062584877,0.11713289469480515,0.5,0.2,5,cosine,10,0.0,0.16163230000529438,3.916994099970907,1
PubMed,GraphSAGE,45,75.60000419616699,78.00000309944153,2.399998903274536,1,0,0,10.100000351667404,0.12450383603572845,0.5,0.2,5,cosine,10,0.0,0.16312029992695898,3.916994099970907,1
PubMed,GraphSAGE,46,76.00000500679016,78.00000309944153,1.9999980926513672,1,0,0,10.600000619888306,0.12840159237384796,0.5,0.2,5,cosine,10,0.0,0.1614753999747336,3.916994099970907,1
PubMed,GraphSAGE,47,76.60000324249268,78.20000648498535,1.6000032424926758,1,0,0,9.50000062584877,0.120292529463768,0.5,0.2,5,cosine,10,0.0,0.16202839999459684,3.916994099970907,1
PubMed,GraphSAGE,48,76.70000195503235,77.20000147819519,0.4999995231628418,1,0,0,10.400000214576721,0.12324473261833191,0.5,0.2,5,cosine,10,0.0,0.1619354001013562,3.916994099970907,1
PubMed,GraphSAGE,49,76.60000324249268,80.10000586509705,3.50000262260437,1,0,0,9.50000062584877,0.10747527331113815,0.5,0.2,5,cosine,10,0.0,0.1613247999921441,3.916994099970907,1
PubMed,GraphSAGE,50,75.3000020980835,78.00000309944153,2.7000010013580322,1,0,0,11.300000548362732,0.13376688957214355,0.5,0.2,5,cosine,10,0.0,0.16120619990397245,3.916994099970907,1
PubMed,GraphSAGE,51,76.70000195503235,77.30000615119934,0.6000041961669922,1,0,0,10.400000214576721,0.12269923835992813,0.5,0.2,5,cosine,10,0.0,0.1615146000403911,3.916994099970907,1
PubMed,GAT,42,76.60000324249268,77.10000276565552,0.4999995231628418,1,0,0,10.400000214576721,0.1287899911403656,0.5,0.2,5,cosine,10,0.0,0.16133909998461604,3.916994099970907,1
PubMed,GAT,43,77.90000438690186,79.80000376701355,1.8999993801116943,1,0,0,8.700000494718552,0.11333782225847244,0.5,0.2,5,cosine,10,0.0,0.16244019998703152,3.916994099970907,1
PubMed,GAT,44,77.30000615119934,79.10000085830688,1.799994707107544,1,0,0,9.90000069141388,0.11915882676839828,0.5,0.2,5,cosine,10,0.0,0.16135269997175783,3.916994099970907,1
PubMed,GAT,45,77.40000486373901,78.1000018119812,0.6999969482421875,1,0,0,10.500000417232513,0.12802432477474213,0.5,0.2,5,cosine,10,0.0,0.1614687000401318,3.916994099970907,1
PubMed,GAT,46,77.80000567436218,79.40000295639038,1.5999972820281982,1,0,0,10.80000028014183,0.1245056688785553,0.5,0.2,5,cosine,10,0.0,0.16213409998454154,3.916994099970907,1
PubMed,GAT,47,77.90000438690186,78.20000648498535,0.3000020980834961,1,0,0,9.800000488758087,0.12995563447475433,0.5,0.2,5,cosine,10,0.0,0.16180420003365725,3.916994099970907,1
PubMed,GAT,48,77.90000438690186,79.10000085830688,1.1999964714050293,1,0,0,9.600000083446503,0.127061128616333,0.5,0.2,5,cosine,10,0.0,0.16194629995152354,3.916994099970907,1
PubMed,GAT,49,78.50000262260437,79.6000063419342,1.100003719329834,1,0,0,8.900000154972076,0.12119463831186295,0.5,0.2,5,cosine,10,0.0,0.1625044000102207,3.916994099970907,1
PubMed,GAT,50,77.10000276565552,79.00000214576721,1.8999993801116943,1,0,0,10.200000554323196,0.12316685914993286,0.5,0.2,5,cosine,10,0.0,0.16168689995538443,3.916994099970907,1
PubMed,GAT,51,77.90000438690186,79.30000424385071,1.3999998569488525,1,0,0,9.90000069141388,0.12832804024219513,0.5,0.2,5,cosine,10,0.0,0.16111049999017268,3.916994099970907,1
PubMed,GraphTransformer,42,71.70000076293945,72.70000576972961,1.0000050067901611,1,0,0,9.000000357627869,0.15805684030056,0.5,0.2,5,cosine,10,0.0,0.16239489999134094,3.916994099970907,1
PubMed,GraphTransformer,43,73.4000027179718,75.00000596046448,1.6000032424926758,1,0,0,12.900000810623169,0.17494527995586395,0.5,0.2,5,cosine,10,0.0,0.16091489989776164,3.916994099970907,1
PubMed,GraphTransformer,44,73.90000224113464,77.60000228881836,3.700000047683716,1,0,0,10.200000554323196,0.11491584032773972,0.5,0.2,5,cosine,10,0.0,0.16134870005771518,3.916994099970907,1
PubMed,GraphTransformer,45,73.90000224113464,77.50000357627869,3.600001335144043,1,0,0,10.300000756978989,0.13953810930252075,0.5,0.2,5,cosine,10,0.0,0.16075460007414222,3.916994099970907,1
PubMed,GraphTransformer,46,75.20000338554382,77.50000357627869,2.3000001907348633,1,0,0,9.000000357627869,0.11182670295238495,0.5,0.2,5,cosine,10,0.0,0.16099290002603084,3.916994099970907,1
PubMed,GraphTransformer,47,75.80000162124634,77.90000438690186,2.1000027656555176,1,0,0,7.600000500679016,0.08198900520801544,0.5,0.2,5,cosine,10,0.0,0.16205909999553114,3.916994099970907,1
PubMed,GraphTransformer,48,74.30000305175781,77.90000438690186,3.600001335144043,1,0,0,8.500000089406967,0.09340047091245651,0.5,0.2,5,cosine,10,0.0,0.16152700001839548,3.916994099970907,1
PubMed,GraphTransformer,49,73.00000190734863,77.70000100135803,4.699999094009399,1,0,0,12.000000476837158,0.1515258550643921,0.5,0.2,5,cosine,10,0.0,0.16208379995077848,3.916994099970907,1
