Dataset,Seed,N_test,GCN_Acc,SETTA_Acc,Delta_Acc,Accepted_Test,Accepted_Test_Ratio,Kept_Test,Changed,Changed_Ratio,Changed_Accepted,Changed_Kept,Wrong_to_Correct,Correct_to_Wrong,Wrong_to_Wrong,Correct_to_Correct,Net_Corrected,Wrong_to_Correct_Rate,Correct_to_Wrong_Rate,Net_Corrected_Rate,Accepted_GCN_Acc,Accepted_SETTA_Acc,Accepted_Delta_Acc,Kept_GCN_Acc,Kept_SETTA_Acc,Kept_Delta_Acc,Used_Steps,Stopped_Early
CiteSeer,45,1000,68.5,71.8,3.3,760,76.0,240,170,17.0,170,0,79,46,236,639,33,7.9,4.6,3.3,62.7632,67.1053,4.3421,86.6667,86.6667,0.0,10,0
CiteSeer,46,1000,68.1,72.6,4.5,921,92.1,79,171,17.1,171,0,83,38,236,643,45,8.3,3.8,4.5,66.3409,71.2269,4.886,88.6076,88.6076,0.0,10,0
CiteSeer,47,1000,67.4,71.4,4.0,902,90.2,98,168,16.8,168,0,82,42,244,632,40,8.2,4.2,4.0,65.2993,69.7339,4.4346,86.7347,86.7347,0.0,10,0
CiteSeer,48,1000,69.0,71.8,2.8,909,90.9,91,164,16.4,164,0,75,47,235,643,28,7.5,4.7,2.8,67.2167,70.297,3.0803,86.8132,86.8132,0.0,10,0
CiteSeer,49,1000,69.8,71.1,1.3,917,91.7,83,168,16.8,168,0,69,56,233,642,13,6.9,5.6,1.3,68.048,69.4656,1.4177,89.1566,89.1566,0.0,10,0
CiteSeer,50,1000,66.6,70.1,3.5,898,89.8,102,162,16.2,162,0,76,41,258,625,35,7.6,4.1,3.5,64.1425,68.0401,3.8975,88.2353,88.2353,0.0,10,0
CiteSeer,51,1000,69.0,72.1,3.1,889,88.9,111,172,17.2,172,0,79,48,231,642,31,7.9,4.8,3.1,66.9291,70.4162,3.4871,85.5856,85.5856,0.0,10,0
PubMed,42,1000,78.9,81.1,2.2,485,48.5,515,81,8.1,81,0,50,28,161,761,22,5.0,2.8,2.2,68.0412,72.5773,4.5361,89.1262,89.1262,0.0,10,0
PubMed,43,1000,79.0,80.8,1.8,468,46.8,532,84,8.4,84,0,49,31,161,759,18,4.9,3.1,1.8,68.3761,72.2222,3.8462,88.3459,88.3459,0.0,10,0
PubMed,44,1000,79.1,81.1,2.0,462,46.2,538,87,8.7,87,0,51,31,158,760,20,5.1,3.1,2.0,68.1818,72.5108,4.329,88.4758,88.4758,0.0,10,0
PubMed,45,1000,79.1,80.8,1.7,498,49.8,502,83,8.3,83,0,47,30,162,761,17,4.7,3.0,1.7,68.8755,72.2892,3.4137,89.243,89.243,0.0,10,0
PubMed,46,1000,78.4,81.2,2.8,477,47.7,523,87,8.7,87,0,55,27,161,757,28,5.5,2.7,2.8,67.2956,73.1656,5.87,88.5277,88.5277,0.0,10,0
PubMed,47,1000,78.7,80.9,2.2,458,45.8,542,91,9.1,91,0,54,32,159,755,22,5.4,3.2,2.2,67.4672,72.2707,4.8035,88.1919,88.1919,0.0,10,0
