dataset,seed,method,acc,train_time,post_time,runtime,one_time_preprocess,amortized_runtime
CiteSeer,45,SETTA,71.8000054359436,0.40403049997985363,0.012330800062045455,0.4163613000418991,14.709644600050524,1.8873257600469515
CiteSeer,45,APPNP,69.80000138282776,0.3323079999536276,0.0,0.3323079999536276,0.0,0.3323079999536276
CiteSeer,46,GCN,68.10000538825989,0.2084983999375254,0.0,0.2084983999375254,0.0,0.2084983999375254
CiteSeer,46,C&S,68.30000281333923,0.2084983999375254,0.0389380999840796,0.247436499921605,0.0,0.247436499921605
CiteSeer,46,SETTA,72.60000109672546,0.2084983999375254,0.012274499982595444,0.22077289992012084,14.709644600050524,1.6917373599251733
CiteSeer,46,APPNP,70.40000557899475,0.3375551999779418,0.0,0.3375551999779418,0.0,0.3375551999779418
CiteSeer,47,GCN,67.40000247955322,0.21391650009900331,0.0,0.21391650009900331,0.0,0.21391650009900331
CiteSeer,47,C&S,67.69999861717224,0.21391650009900331,0.040157999959774315,0.25407450005877763,0.0,0.25407450005877763
CiteSeer,47,SETTA,71.40000462532043,0.21391650009900331,0.012516099959611893,0.2264326000586152,14.709644600050524,1.6973970600636676
CiteSeer,47,APPNP,70.70000171661377,0.31326930003706366,0.0,0.31326930003706366,0.0,0.31326930003706366
CiteSeer,48,GCN,69.0000057220459,0.22738030005712062,0.0,0.22738030005712062,0.0,0.22738030005712062
CiteSeer,48,C&S,69.49999928474426,0.22738030005712062,0.03598960000090301,0.26336990005802363,0.0,0.26336990005802363
CiteSeer,48,SETTA,71.8000054359436,0.22738030005712062,0.012390199932269752,0.23977049998939037,14.709644600050524,1.7107349599944428
CiteSeer,48,APPNP,68.60000491142273,0.348922900040634,0.0,0.348922900040634,0.0,0.348922900040634
CiteSeer,49,GCN,69.80000138282776,0.22091979999095201,0.0,0.22091979999095201,0.0,0.22091979999095201
CiteSeer,49,C&S,69.90000009536743,0.22091979999095201,0.04069189995061606,0.2616116999415681,0.0,0.2616116999415681
CiteSeer,49,SETTA,71.10000252723694,0.22091979999095201,0.012295400025323033,0.23321520001627505,14.709644600050524,1.7041796600213275
CiteSeer,49,APPNP,68.7000036239624,0.32369290001224726,0.0,0.32369290001224726,0.0,0.32369290001224726
CiteSeer,50,GCN,66.60000085830688,0.24721910001244396,0.0,0.24721910001244396,0.0,0.24721910001244396
CiteSeer,50,C&S,67.90000200271606,0.24721910001244396,0.0400361999636516,0.28725529997609556,0.0,0.28725529997609556
CiteSeer,50,SETTA,70.10000348091125,0.24721910001244396,0.013680000090971589,0.26089910010341555,14.709644600050524,1.731863560108468
CiteSeer,50,APPNP,69.80000138282776,0.3446452999487519,0.0,0.3446452999487519,0.0,0.3446452999487519
CiteSeer,51,GCN,69.0000057220459,0.23468610004056245,0.0,0.23468610004056245,0.0,0.23468610004056245
CiteSeer,51,C&S,69.49999928474426,0.23468610004056245,0.04141509998589754,0.27610120002646,0.0,0.27610120002646
CiteSeer,51,SETTA,72.10000157356262,0.23468610004056245,0.012441399972885847,0.2471275000134483,14.709644600050524,1.7180919600185007
CiteSeer,51,APPNP,69.50000524520874,0.3471689000725746,0.0,0.3471689000725746,0.0,0.3471689000725746
PubMed,42,GCN,78.90000343322754,0.878952500061132,0.0,0.878952500061132,0.0,0.878952500061132
PubMed,42,C&S,79.60000038146973,0.878952500061132,0.09855890006292611,0.9775114001240581,0.0,0.9775114001240581
PubMed,42,SETTA,81.10000491142273,0.878952500061132,0.17074329999741167,1.0496958000585437,3.8024478999432176,1.4299405900528654
PubMed,42,APPNP,80.20000457763672,0.9339788999641314,0.0,0.9339788999641314,0.0,0.9339788999641314
PubMed,43,GCN,79.00000214576721,0.7816647000145167,0.0,0.7816647000145167,0.0,0.7816647000145167
PubMed,43,C&S,79.50000166893005,0.7816647000145167,0.09865960001479834,0.880324300029315,0.0,0.880324300029315
PubMed,43,SETTA,80.80000281333923,0.7816647000145167,0.06891989998985082,0.8505846000043675,3.8024478999432176,1.2308293899986893
PubMed,43,APPNP,79.70000505447388,0.8404012999963015,0.0,0.8404012999963015,0.0,0.8404012999963015
PubMed,44,GCN,79.10000085830688,0.8458614000119269,0.0,0.8458614000119269,0.0,0.8458614000119269
PubMed,44,C&S,79.6999990940094,0.8458614000119269,0.09674309997353703,0.9426044999854639,0.0,0.9426044999854639
PubMed,44,SETTA,81.10000491142273,0.8458614000119269,0.13252620003186166,0.9783876000437886,3.8024478999432176,1.3586323900381103
PubMed,44,APPNP,80.0000011920929,0.8083111000014469,0.0,0.8083111000014469,0.0,0.8083111000014469
PubMed,45,GCN,79.10000085830688,0.5750295000616461,0.0,0.5750295000616461,0.0,0.5750295000616461
PubMed,45,C&S,79.6999990940094,0.5750295000616461,0.09732749999966472,0.6723570000613108,0.0,0.6723570000613108
PubMed,45,SETTA,80.80000281333923,0.5750295000616461,0.06903509993571788,0.644064599997364,3.8024478999432176,1.0243093899916857
PubMed,45,APPNP,79.70000505447388,1.042068799957633,0.0,1.042068799957633,0.0,1.042068799957633
PubMed,46,GCN,78.4000039100647,0.6705550999613479,0.0,0.6705550999613479,0.0,0.6705550999613479
PubMed,46,C&S,79.40000295639038,0.6705550999613479,0.09696940006688237,0.7675245000282302,0.0,0.7675245000282302
