Dataset,Alpha,Beta,Mean,Std
PubMed,0.1,0.8,80.2,0.17
PubMed,0.1,0.9,80.14,0.16
PubMed,0.1,1.0,80.07,0.18
PubMed,0.2,0.0,79.31,0.28
PubMed,0.2,0.1,79.93,0.21
PubMed,0.2,0.2,80.19,0.18
PubMed,0.2,0.3,80.01,0.22
PubMed,0.2,0.4,80.12,0.2
PubMed,0.2,0.5,80.28,0.13
PubMed,0.2,0.6,80.46,0.13
PubMed,0.2,0.7,80.41,0.14
PubMed,0.2,0.8,80.27,0.2
PubMed,0.2,0.9,80.1,0.23
PubMed,0.2,1.0,79.91,0.21
PubMed,0.3,0.0,79.5,0.2
PubMed,0.3,0.1,80.21,0.17
PubMed,0.3,0.2,80.21,0.19
PubMed,0.3,0.3,80.55,0.22
PubMed,0.3,0.4,80.52,0.18
PubMed,0.3,0.5,80.75,0.08
PubMed,0.3,0.6,80.56,0.25
PubMed,0.3,0.7,80.11,0.33
PubMed,0.3,0.8,79.86,0.36
PubMed,0.3,0.9,79.78,0.34
PubMed,0.3,1.0,79.65,0.28
PubMed,0.4,0.0,79.54,0.19
PubMed,0.4,0.1,80.36,0.18
PubMed,0.4,0.2,80.76,0.14
PubMed,0.4,0.3,80.55,0.15
PubMed,0.4,0.4,80.4,0.28
PubMed,0.4,0.5,80.21,0.31
PubMed,0.4,0.6,79.98,0.21
PubMed,0.4,0.7,79.84,0.2
PubMed,0.4,0.8,79.58,0.18
PubMed,0.4,0.9,79.26,0.17
PubMed,0.4,1.0,79.09,0.27
PubMed,0.5,0.0,79.51,0.14
PubMed,0.5,0.1,80.73,0.19
PubMed,0.5,0.2,80.94,0.19
PubMed,0.5,0.3,80.53,0.16
PubMed,0.5,0.4,80.15,0.39
PubMed,0.5,0.5,79.78,0.29
PubMed,0.5,0.6,79.6,0.25
PubMed,0.5,0.7,79.43,0.26
PubMed,0.5,0.8,79.28,0.22
PubMed,0.5,0.9,79.14,0.23
